hidden layers: 2, neurons: 4, epochs: 4, time: 6.807077407836914 loss: 0.723818945192 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 8, epochs: 8, time: 37.91992902755737 loss: 0.674968969159 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 8, epochs: 16, time: 63.9142804145813 loss: 0.672831713835 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 8, epochs: 32, time: 114.37422609329224 loss: 0.577131871775 categorical_accuracy: 0.630087005374
hidden layers: 6, neurons: 8, epochs: 64, time: 218.61355996131897 loss: 0.542819914626 categorical_accuracy: 0.745719899012
hidden layers: 6, neurons: 16, epochs: 4, time: 26.81558060646057 loss: 0.669232953776 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 16, epochs: 8, time: 75.74351811408997 loss: 0.611748932303 categorical_accuracy: 0.671063710323
hidden layers: 6, neurons: 16, epochs: 16, time: 70.75703620910645 loss: 0.523827008424 categorical_accuracy: 0.762840303157
hidden layers: 6, neurons: 16, epochs: 32, time: 128.57787609100342 loss: 0.613464146443 categorical_accuracy: 0.692955374734
hidden layers: 6, neurons: 16, epochs: 64, time: 249.85685300827026 loss: 0.564952170334 categorical_accuracy: 0.740387314111
hidden layers: 6, neurons: 32, epochs: 4, time: 34.050925731658936 loss: 0.623677769254 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 32, epochs: 8, time: 44.21116757392883 loss: 0.555957078633 categorical_accuracy: 0.715969688515
hidden layers: 6, neurons: 32, epochs: 16, time: 73.16494798660278 loss: 0.615747588356 categorical_accuracy: 0.690148751019
hidden layers: 6, neurons: 32, epochs: 32, time: 141.60659313201904 loss: 0.522743973978 categorical_accuracy: 0.750491159102
hidden layers: 6, neurons: 32, epochs: 64, time: 253.8934350013733 loss: 0.500366594043 categorical_accuracy: 0.777715408347
hidden layers: 6, neurons: 64, epochs: 4, time: 34.5640504360199 loss: 0.654865598063 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 64, epochs: 8, time: 53.33245825767517 loss: 0.466080307375 categorical_accuracy: 0.781083356688
hidden layers: 6, neurons: 64, epochs: 16, time: 279.9704329967499 loss: 0.523974288791 categorical_accuracy: 0.736738703306
hidden layers: 6, neurons: 64, epochs: 32, time: 165.57421875 loss: 0.511618075647 categorical_accuracy: 0.748526522635
hidden layers: 6, neurons: 64, epochs: 64, time: 300.35131430625916 loss: 0.50231438907 categorical_accuracy: 0.752175133382
hidden layers: 6, neurons: 128, epochs: 4, time: 51.54810667037964 loss: 0.672492749213 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 128, epochs: 8, time: 87.42841792106628 loss: 0.673185029008 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 128, epochs: 16, time: 157.15270519256592 loss: 0.674840240792 categorical_accuracy: 0.601459444255
hidden layers: 6, neurons: 128, epochs: 32, time: 299.62296867370605 loss: 0.486825751741 categorical_accuracy: 0.796239124317
hidden layers: 6, neurons: 128, epochs: 64, time: 584.1520595550537 loss: 0.51580101638 categorical_accuracy: 0.749649172096
hidden layers: 8, neurons: 4, epochs: 4, time: 38.03568649291992 loss: 0.709054963963 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 4, epochs: 8, time: 55.697664976119995 loss: 0.682553011498 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 4, epochs: 16, time: 91.05786395072937 loss: 0.674100084968 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 4, epochs: 32, time: 169.00666856765747 loss: 0.6724832699 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 4, epochs: 64, time: 1444.5245969295502 loss: 0.590674887672 categorical_accuracy: 0.679764243581
hidden layers: 8, neurons: 8, epochs: 4, time: 75.6742594242096 loss: 0.683487772507 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 8, epochs: 8, time: 63.50392460823059 loss: 0.675227789055 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 8, epochs: 16, time: 102.2909677028656 loss: 0.672901767243 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 8, epochs: 32, time: 289.54113245010376 loss: 0.672309384348 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 8, epochs: 64, time: 390.3234157562256 loss: 0.645285631896 categorical_accuracy: 0.610440639877
hidden layers: 8, neurons: 16, epochs: 4, time: 173.75866723060608 loss: 0.675401931511 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 16, epochs: 8, time: 708.5715959072113 loss: 0.673042498728 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 16, epochs: 16, time: 1307.990858078003 loss: 0.556866980489 categorical_accuracy: 0.685938815655
hidden layers: 8, neurons: 16, epochs: 32, time: 1067.0553796291351 loss: 0.486419890591 categorical_accuracy: 0.746842548481
hidden layers: 8, neurons: 16, epochs: 64, time: 4204.987367391586 loss: 0.537293956483 categorical_accuracy: 0.742071288307
hidden layers: 8, neurons: 32, epochs: 4, time: 1408.5973529815674 loss: 0.571096383067 categorical_accuracy: 0.710917765978
hidden layers: 8, neurons: 32, epochs: 8, time: 5330.988762140274 loss: 0.57864467294 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 32, epochs: 16, time: 128.23169708251953 loss: 0.552520061439 categorical_accuracy: 0.746561886118
hidden layers: 8, neurons: 32, epochs: 32, time: 204.851975440979 loss: 0.527516527438 categorical_accuracy: 0.740667976491
hidden layers: 8, neurons: 32, epochs: 64, time: 2682.9627878665924 loss: 0.453327826877 categorical_accuracy: 0.764804939624
hidden layers: 8, neurons: 64, epochs: 4, time: 1091.38627743721 loss: 0.672629444394 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 64, epochs: 8, time: 2651.0053663253784 loss: 0.673979476751 categorical_accuracy: 0.601459444255
hidden layers: 8, neurons: 64, epochs: 16, time: 3572.9397180080414 loss: 0.506285623071 categorical_accuracy: 0.741229301117
hidden layers: 8, neurons: 64, epochs: 32, time: 4111.067600488663 loss: 0.542936371412 categorical_accuracy: 0.674431658681
hidden layers: 8, neurons: 64, epochs: 64, time: 325.12916588783264 loss: 0.587830681832 categorical_accuracy: 0.710075778905
hidden layers: 8, neurons: 64, epochs: 128, time: 648.5999224185944 loss: 0.551232450034 categorical_accuracy: 0.742071288307
hidden layers: 8, neurons: 128, epochs: 16, time: 170.42106533050537 loss: 0.674758111765 categorical_accuracy: 0.59921414545
hidden layers: 8, neurons: 128, epochs: 32, time: 338.3399703502655 loss: 0.673339575236 categorical_accuracy: 0.59921414545
hidden layers: 8, neurons: 128, epochs: 64, time: 673.3001043796539 loss: 0.673431514038 categorical_accuracy: 0.59921414545
hidden layers: 8, neurons: 128, epochs: 128, time: 1345.5142540931702 loss: 0.67334512869 categorical_accuracy: 0.59921414545
